No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,full_date,pm25_ispu,pm10_ispu,so2_ispu,co_ispu,o3_ispu,no2_ispu
32,2013,3,2,7,13.0,13.0,14.0,45.0,600.0,47.0,-1.9,1031.9,-18.5,0.0,N,1.4,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
33,2013,3,2,8,3.0,6.0,19.0,48.0,600.0,43.0,-0.9,1031.7,-18.0,0.0,NNE,1.6,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
34,2013,3,2,9,3.0,6.0,24.0,49.0,500.0,44.0,0.1,1031.7,-18.1,0.0,NE,0.5,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
35,2013,3,2,10,3.0,7.0,24.0,55.0,600.0,36.0,1.5,1031.2,-18.0,0.0,ENE,0.6,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
36,2013,3,2,11,4.0,14.0,18.0,54.0,700.0,34.0,2.6,1030.2,-18.2,0.0,SW,3.1,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
37,2013,3,2,12,17.0,22.0,18.0,61.0,1100.0,32.0,3.8,1029.0,-17.8,0.0,SSW,1.1,Dongsi,2013-03-02,51.8796992481203,0.0,0.0,0.0,0.0,0.0
38,2013,3,2,13,23.0,29.0,19.0,54.0,800.0,39.0,3.8,1027.6,-17.8,0.0,S,1.0,Dongsi,2013-03-02,59.3984962406015,0.0,0.0,0.0,0.0,0.0
39,2013,3,2,14,32.0,34.0,18.0,48.0,700.0,47.0,3.9,1026.8,-18.3,0.0,SSW,0.4,Dongsi,2013-03-02,70.67669172932331,0.0,0.0,0.0,0.0,0.0
40,2013,3,2,15,35.0,37.0,25.0,49.0,900.0,49.0,4.3,1026.2,-18.0,0.0,SSW,1.5,Dongsi,2013-03-02,74.43609022556392,0.0,0.0,0.0,0.0,0.0
41,2013,3,2,16,42.0,52.0,43.0,60.0,1300.0,41.0,4.1,1025.4,-16.9,0.0,SSW,1.9,Dongsi,2013-03-02,83.20802005012533,51.0,0.0,0.0,0.0,0.0
42,2013,3,2,17,54.0,69.0,41.0,62.0,1100.0,40.0,3.2,1025.3,-16.0,0.0,WSW,1.3,Dongsi,2013-03-02,98.24561403508773,59.5,0.0,0.0,0.0,0.0
43,2013,3,2,18,56.0,82.0,43.0,63.0,1100.0,37.0,2.2,1025.4,-15.8,0.0,NE,0.4,Dongsi,2013-03-02,100.63157894736842,66.0,0.0,0.0,0.0,0.0
44,2013,3,2,19,63.0,92.0,45.0,72.0,1200.0,27.0,1.6,1025.0,-15.4,0.0,N,0.1,Dongsi,2013-03-02,108.0,71.0,0.0,0.0,0.0,0.0
45,2013,3,2,20,71.0,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,N,1.0,Dongsi,2013-03-02,116.42105263157895,74.0,0.0,0.0,0.0,0.0
46,2013,3,2,21,79.0,111.0,61.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,N,0.2,Dongsi,2013-03-02,124.84210526315789,80.5,53.515625,0.0,0.0,56.25
47,2013,3,2,22,98.0,121.0,71.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,ENE,0.0,Dongsi,2013-03-02,144.8421052631579,85.5,57.421875,0.0,0.0,63.333333333333336
48,2013,3,2,23,108.0,131.0,73.0,110.0,2600.0,2.0,-1.3,1023.2,-14.5,0.0,N,0.0,Dongsi,2013-03-02,155.36842105263156,90.5,58.203125,0.0,0.0,62.5
49,2013,3,3,0,115.0,141.0,70.0,111.0,2700.0,2.0,-2.2,1022.3,-12.8,0.0,N,0.0,Dongsi,2013-03-03,162.73684210526315,95.5,57.03125,0.0,0.0,62.91666666666667
50,2013,3,3,1,127.0,152.0,65.0,109.0,2600.0,2.0,-1.8,1021.4,-13.3,0.0,W,0.7,Dongsi,2013-03-03,175.36842105263156,101.0,55.078125,0.0,0.0,62.083333333333336
51,2013,3,3,2,132.0,151.0,64.0,107.0,2399.0,2.0,-2.4,1020.4,-13.3,0.0,E,1.3,Dongsi,2013-03-03,180.6315789473684,100.5,54.6875,0.0,0.0,61.25
52,2013,3,3,3,124.0,133.0,83.0,104.0,2399.0,2.0,-3.3,1019.4,-12.5,0.0,ESE,1.2,Dongsi,2013-03-03,172.21052631578948,91.5,62.109375,0.0,0.0,60.0
53,2013,3,3,4,112.0,118.0,92.0,105.0,2399.0,2.0,-4.2,1019.0,-12.6,0.0,E,0.1,Dongsi,2013-03-03,159.57894736842104,84.0,65.625,0.0,0.0,60.41666666666667
54,2013,3,3,5,101.0,107.0,74.0,99.0,2299.0,2.0,-5.2,1018.5,-11.6,0.0,NE,0.9,Dongsi,2013-03-03,148.0,78.5,58.59375,0.0,0.0,57.916666666666664
55,2013,3,3,6,88.0,105.0,80.0,94.0,2500.0,2.0,-5.4,1018.3,-11.3,0.0,ENE,0.0,Dongsi,2013-03-03,134.31578947368422,77.5,60.9375,0.0,0.0,55.833333333333336
56,2013,3,3,7,98.0,113.0,82.0,100.0,2899.0,2.0,-3.3,1018.6,-9.8,0.0,N,0.1,Dongsi,2013-03-03,144.8421052631579,81.5,61.71875,0.0,0.0,58.333333333333336
57,2013,3,3,8,97.0,124.0,79.0,95.0,2799.0,2.0,1.2,1018.1,-13.7,0.0,N,0.8,Dongsi,2013-03-03,143.78947368421052,87.0,60.546875,0.0,0.0,56.25
58,2013,3,3,9,95.0,115.0,102.0,95.0,2399.0,3.0,4.0,1017.6,-13.4,0.0,SE,0.6,Dongsi,2013-03-03,141.68421052631578,82.5,69.53125,0.0,0.0,56.25
59,2013,3,3,10,91.0,112.0,102.0,98.0,2200.0,10.0,6.8,1016.7,-13.5,0.0,SSW,1.1,Dongsi,2013-03-03,137.4736842105263,81.0,69.53125,0.0,0.0,57.5
60,2013,3,3,11,98.0,123.0,83.0,104.0,2500.0,14.0,9.5,1015.6,-13.7,0.0,W,0.5,Dongsi,2013-03-03,144.8421052631579,86.5,62.109375,0.0,0.0,60.0
61,2013,3,3,12,107.0,134.0,70.0,111.0,2600.0,17.0,13.4,1014.4,-13.6,0.0,WNW,1.8,Dongsi,2013-03-03,154.31578947368422,92.0,57.03125,0.0,0.0,62.91666666666667
62,2013,3,3,13,114.0,130.0,43.0,85.0,1800.0,38.0,15.5,1013.0,-13.8,0.0,NW,4.0,Dongsi,2013-03-03,161.68421052631578,90.0,0.0,0.0,0.0,52.083333333333336
63,2013,3,3,14,81.0,104.0,19.0,46.0,1000.0,68.0,16.4,1012.4,-15.4,0.0,W,7.0,Dongsi,2013-03-03,126.94736842105263,77.0,0.0,0.0,0.0,0.0
64,2013,3,3,15,49.0,80.0,7.0,17.0,500.0,94.0,16.6,1012.0,-15.2,0.0,WNW,4.7,Dongsi,2013-03-03,91.97994987468672,65.0,0.0,0.0,0.0,0.0
65,2013,3,3,16,28.0,66.0,14.0,33.0,700.0,82.0,15.8,1012.2,-14.7,0.0,ENE,1.3,Dongsi,2013-03-03,65.6641604010025,58.0,0.0,0.0,0.0,0.0
66,2013,3,3,17,41.0,106.0,24.0,60.0,1000.0,67.0,12.6,1013.0,-13.4,0.0,SSW,1.3,Dongsi,2013-03-03,81.95488721804512,78.0,0.0,0.0,0.0,0.0
67,2013,3,3,18,58.0,106.0,26.0,74.0,1200.0,50.0,9.9,1014.1,-10.3,0.0,WNW,1.0,Dongsi,2013-03-03,102.73684210526316,78.0,0.0,0.0,0.0,0.0
68,2013,3,3,19,87.0,212.0,58.0,127.0,2000.0,17.0,6.8,1014.9,-9.6,0.0,W,0.0,Dongsi,2013-03-03,133.26315789473685,131.0,52.34375,0.0,0.0,69.58333333333334
69,2013,3,3,20,142.0,274.0,56.0,136.0,2299.0,4.0,5.2,1015.2,-8.3,0.0,W,0.0,Dongsi,2013-03-03,191.15789473684208,162.0,51.5625,0.0,0.0,73.33333333333334
70,2013,3,3,21,152.0,202.0,45.0,122.0,2399.0,2.0,4.0,1015.4,-9.1,0.0,N,0.2,Dongsi,2013-03-03,201.6,126.0,0.0,0.0,0.0,67.5
71,2013,3,3,22,143.0,149.0,29.0,107.0,2299.0,2.0,2.7,1015.8,-8.4,0.0,WNW,0.4,Dongsi,2013-03-03,192.21052631578948,99.5,0.0,0.0,0.0,61.25
72,2013,3,3,23,80.0,101.0,32.0,104.0,3299.0,2.0,7.1,1016.7,-12.2,0.0,N,0.4,Dongsi,2013-03-03,125.89473684210526,75.5,0.0,0.0,0.0,60.0
73,2013,3,4,0,68.0,110.0,46.0,109.0,4000.0,3.0,9.9,1017.5,-14.1,0.0,N,4.9,Dongsi,2013-03-04,113.26315789473685,80.0,0.0,0.0,0.0,62.083333333333336
74,2013,3,4,1,61.0,89.0,21.0,58.0,900.0,22.0,9.3,1018.4,-13.9,0.0,NNW,3.6,Dongsi,2013-03-04,105.89473684210526,69.5,0.0,0.0,0.0,0.0
76,2013,3,4,3,13.0,19.0,3.0,14.0,400.0,84.0,7.4,1018.6,-14.2,0.0,N,3.6,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
77,2013,3,4,4,6.0,13.0,8.0,28.0,500.0,65.0,6.2,1019.6,-15.2,0.0,NNW,2.7,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
78,2013,3,4,5,7.0,19.0,13.0,48.0,600.0,40.0,6.0,1020.1,-14.2,0.0,NW,2.4,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
79,2013,3,4,6,9.0,23.0,18.0,61.0,800.0,27.0,4.2,1020.8,-12.7,0.0,NW,2.0,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
80,2013,3,4,7,10.0,31.0,26.0,82.0,900.0,8.0,7.2,1021.5,-12.6,0.0,NNW,3.2,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,50.833333333333336
81,2013,3,4,8,11.0,34.0,27.0,76.0,1100.0,14.0,8.6,1022.3,-14.4,0.0,NE,2.8,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
82,2013,3,4,9,15.0,25.0,18.0,40.0,700.0,55.0,9.9,1022.6,-14.8,0.0,N,2.4,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
83,2013,3,4,10,3.0,7.0,14.0,30.0,600.0,72.0,11.5,1022.3,-14.3,0.0,N,0.0,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
84,2013,3,4,11,13.0,15.0,12.0,25.0,500.0,80.0,12.3,1022.0,-15.4,0.0,N,2.4,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
85,2013,3,4,12,13.0,20.0,10.0,21.0,500.0,86.0,13.9,1020.6,-16.2,0.0,N,3.3,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
86,2013,3,4,13,3.0,9.0,6.0,18.0,500.0,92.0,14.8,1019.5,-15.5,0.0,N,1.4,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
87,2013,3,4,14,3.0,6.0,6.0,18.0,500.0,92.0,15.3,1018.6,-15.1,0.0,E,1.3,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
88,2013,3,4,15,4.0,10.0,6.0,23.0,500.0,89.0,15.6,1018.1,-14.8,0.0,SSW,2.0,Dongsi,2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0
89,2013,3,4,16,18.0,18.0,9.0,31.0,600.0,85.0,14.7,1017.5,-15.5,0.0,SW,2.9,Dongsi,2013-03-04,53.1328320802005,0.0,0.0,0.0,0.0,0.0
90,2013,3,4,17,17.0,24.0,8.0,33.0,600.0,102.0,13.2,1017.8,-15.7,0.0,SW,3.0,Dongsi,2013-03-04,51.8796992481203,0.0,0.0,0.0,0.0,0.0
91,2013,3,4,18,20.0,29.0,9.0,35.0,600.0,94.0,12.6,1018.3,-13.4,0.0,SW,2.9,Dongsi,2013-03-04,55.6390977443609,0.0,0.0,0.0,0.0,0.0
92,2013,3,4,19,31.0,60.0,13.0,53.0,700.0,68.0,12.0,1018.5,-13.1,0.0,WSW,2.7,Dongsi,2013-03-04,69.42355889724311,55.0,0.0,0.0,0.0,0.0
93,2013,3,4,20,39.0,86.0,19.0,68.0,1000.0,47.0,10.9,1018.8,-11.9,0.0,SE,1.4,Dongsi,2013-03-04,79.44862155388472,68.0,0.0,0.0,0.0,0.0
94,2013,3,4,21,51.0,93.0,28.0,75.0,1100.0,42.0,10.2,1018.8,-11.8,0.0,SW,2.0,Dongsi,2013-03-04,94.48621553884712,71.5,0.0,0.0,0.0,0.0
95,2013,3,4,22,59.0,98.0,24.0,86.0,1100.0,32.0,10.0,1018.5,-12.0,0.0,SW,3.0,Dongsi,2013-03-04,103.78947368421052,74.0,0.0,0.0,0.0,52.5
96,2013,3,4,23,66.0,95.0,46.0,92.0,1300.0,102.0,9.4,1017.5,-11.3,0.0,SSW,2.7,Dongsi,2013-03-04,111.15789473684211,72.5,0.0,0.0,0.0,55.0
97,2013,3,5,0,74.0,96.0,60.0,84.0,1300.0,102.0,8.8,1017.0,-10.7,0.0,SSW,2.1,Dongsi,2013-03-05,119.57894736842105,73.0,53.125,0.0,0.0,51.666666666666664
98,2013,3,5,1,89.0,116.0,64.0,76.0,1399.0,102.0,7.8,1016.5,-10.6,0.0,SSE,1.3,Dongsi,2013-03-05,135.36842105263156,83.0,54.6875,0.0,0.0,0.0
102,2013,3,5,5,131.0,146.0,78.0,94.0,2100.0,102.0,0.4,1015.7,-9.6,0.0,ENE,0.8,Dongsi,2013-03-05,179.57894736842104,98.0,60.15625,0.0,0.0,55.833333333333336
103,2013,3,5,6,123.0,133.0,70.0,104.0,2700.0,102.0,-0.2,1015.5,-8.4,0.0,ENE,1.0,Dongsi,2013-03-05,171.15789473684208,91.5,57.03125,0.0,0.0,60.0
104,2013,3,5,7,106.0,139.0,76.0,102.0,3000.0,102.0,2.1,1015.4,-8.6,0.0,E,0.9,Dongsi,2013-03-05,153.26315789473685,94.5,59.375,0.0,0.0,59.16666666666667
105,2013,3,5,8,107.0,150.0,75.0,97.0,3000.0,102.0,5.0,1015.1,-8.9,0.0,E,1.0,Dongsi,2013-03-05,154.31578947368422,100.0,58.984375,0.0,0.0,57.083333333333336
106,2013,3,5,9,117.0,165.0,93.0,106.0,2700.0,102.0,6.7,1014.5,-8.9,0.0,E,1.3,Dongsi,2013-03-05,164.8421052631579,107.5,66.015625,0.0,0.0,60.833333333333336
107,2013,3,5,10,131.0,176.0,86.0,114.0,2600.0,102.0,9.1,1013.8,-8.5,0.0,E,0.9,Dongsi,2013-03-05,179.57894736842104,113.0,63.28125,0.0,0.0,64.16666666666667
108,2013,3,5,11,141.0,177.0,86.0,126.0,2600.0,102.0,10.9,1012.8,-8.4,0.0,ESE,1.3,Dongsi,2013-03-05,190.10526315789474,113.5,63.28125,0.0,0.0,69.16666666666667
109,2013,3,5,12,153.0,190.0,78.0,143.0,2700.0,18.0,12.3,1011.4,-8.8,0.0,E,0.0,Dongsi,2013-03-05,202.6,120.0,60.15625,0.0,0.0,76.25
110,2013,3,5,13,169.0,198.0,72.0,152.0,2500.0,102.0,13.0,1010.1,-8.3,0.0,ENE,1.5,Dongsi,2013-03-05,218.6,124.0,57.8125,0.0,0.0,80.0
111,2013,3,5,14,169.0,181.0,68.0,170.0,2600.0,102.0,13.3,1009.5,-8.0,0.0,ENE,1.6,Dongsi,2013-03-05,218.6,115.5,56.25,0.0,0.0,87.5
112,2013,3,5,15,174.0,198.0,73.0,204.0,3100.0,102.0,13.8,1009.1,-7.6,0.0,E,1.9,Dongsi,2013-03-05,223.6,124.0,58.203125,0.0,0.0,100.43010752688173
113,2013,3,5,16,194.0,221.0,82.0,205.0,3000.0,102.0,13.2,1009.0,-7.5,0.0,ENE,1.8,Dongsi,2013-03-05,243.6,135.5,61.71875,0.0,0.0,100.53763440860214
114,2013,3,5,17,208.0,243.0,88.0,189.0,2399.0,94.0,11.6,1009.4,-7.3,0.0,NNE,0.7,Dongsi,2013-03-05,257.6,146.5,64.0625,0.0,0.0,95.41666666666667
115,2013,3,5,18,213.0,249.0,85.0,170.0,2000.0,68.0,9.4,1009.8,-5.7,0.0,ESE,0.7,Dongsi,2013-03-05,262.6,149.5,62.890625,0.0,0.0,87.5
116,2013,3,5,19,203.0,236.0,90.0,187.0,2299.0,47.0,6.7,1010.4,-5.0,0.0,ESE,0.1,Dongsi,2013-03-05,252.6,143.0,64.84375,0.0,0.0,94.58333333333334
117,2013,3,5,20,209.0,240.0,92.0,185.0,2500.0,42.0,5.2,1010.7,-4.7,0.0,N,0.0,Dongsi,2013-03-05,258.6,145.0,65.625,0.0,0.0,93.75
118,2013,3,5,21,222.0,250.0,104.0,188.0,2899.0,32.0,4.3,1010.5,-2.6,0.0,ENE,1.0,Dongsi,2013-03-05,271.6,150.0,70.3125,0.0,0.0,95.0
119,2013,3,5,22,228.0,245.0,103.0,184.0,3200.0,30.0,4.3,1010.7,-4.2,0.0,E,0.8,Dongsi,2013-03-05,277.6,147.5,69.921875,0.0,0.0,93.33333333333334
120,2013,3,5,23,227.0,240.0,111.0,192.0,3100.0,30.0,4.9,1010.5,-5.8,0.0,E,0.0,Dongsi,2013-03-05,276.6,145.0,73.046875,0.0,0.0,96.66666666666667
121,2013,3,6,0,236.0,251.0,111.0,187.0,3299.0,30.0,5.6,1010.4,-7.0,0.0,NE,0.8,Dongsi,2013-03-06,285.6,150.5,73.046875,0.0,0.0,94.58333333333334
122,2013,3,6,1,245.0,261.0,97.0,173.0,2700.0,30.0,3.5,1010.2,-6.0,0.0,NNE,0.5,Dongsi,2013-03-06,294.6,155.5,67.578125,0.0,0.0,88.75
123,2013,3,6,2,176.0,220.0,94.0,172.0,2700.0,30.0,6.3,1009.9,-7.0,0.0,NE,1.0,Dongsi,2013-03-06,225.6,135.0,66.40625,0.0,0.0,88.33333333333334
124,2013,3,6,3,168.0,191.0,89.0,169.0,2600.0,30.0,6.3,1009.6,-7.0,0.0,NE,0.7,Dongsi,2013-03-06,217.6,120.5,64.453125,0.0,0.0,87.08333333333334
125,2013,3,6,4,155.0,182.0,84.0,163.0,2500.0,30.0,5.1,1009.5,-6.5,0.0,NE,1.0,Dongsi,2013-03-06,204.6,116.0,62.5,0.0,0.0,84.58333333333334
126,2013,3,6,5,152.0,176.0,86.0,172.0,2399.0,30.0,4.6,1009.8,-6.3,0.0,NE,0.7,Dongsi,2013-03-06,201.6,113.0,63.28125,0.0,0.0,88.33333333333334
127,2013,3,6,6,154.0,181.0,95.0,163.0,2700.0,30.0,4.1,1010.3,-6.2,0.0,N,0.8,Dongsi,2013-03-06,203.6,115.5,66.796875,0.0,0.0,84.58333333333334
128,2013,3,6,7,190.0,194.0,105.0,156.0,2600.0,30.0,5.3,1011.0,-6.0,0.0,NE,0.9,Dongsi,2013-03-06,239.6,122.0,70.703125,0.0,0.0,81.66666666666667
129,2013,3,6,8,193.0,199.0,78.0,134.0,2200.0,30.0,6.9,1010.8,-6.5,0.0,NNW,1.3,Dongsi,2013-03-06,242.6,124.5,60.15625,0.0,0.0,72.5
130,2013,3,6,9,185.0,200.0,76.0,129.0,2399.0,30.0,8.4,1010.8,-6.6,0.0,N,0.8,Dongsi,2013-03-06,234.6,125.0,59.375,0.0,0.0,70.41666666666667
131,2013,3,6,10,138.0,172.0,74.0,124.0,2299.0,30.0,8.8,1010.4,-6.2,0.0,NE,1.1,Dongsi,2013-03-06,186.9473684210526,111.0,58.59375,0.0,0.0,68.33333333333334
132,2013,3,6,11,177.0,177.0,82.0,130.0,2399.0,30.0,9.5,1009.5,-6.0,0.0,ENE,1.0,Dongsi,2013-03-06,226.6,113.5,61.71875,0.0,0.0,70.83333333333334
133,2013,3,6,12,182.0,197.0,88.0,138.0,2600.0,30.0,10.4,1008.5,-5.6,0.0,ENE,0.2,Dongsi,2013-03-06,231.6,123.5,64.0625,0.0,0.0,74.16666666666667
134,2013,3,6,13,198.0,220.0,99.0,149.0,2600.0,30.0,11.5,1007.6,-5.1,0.0,SSE,0.8,Dongsi,2013-03-06,247.6,135.0,68.359375,0.0,0.0,78.75
135,2013,3,6,14,221.0,245.0,107.0,157.0,2799.0,30.0,13.2,1006.9,-4.5,0.0,SSW,1.0,Dongsi,2013-03-06,270.6,147.5,71.484375,0.0,0.0,82.08333333333334
136,2013,3,6,15,240.0,258.0,109.0,162.0,3000.0,30.0,14.7,1007.0,-4.6,0.0,SW,1.3,Dongsi,2013-03-06,289.6,154.0,72.265625,0.0,0.0,84.16666666666667
137,2013,3,6,16,245.0,261.0,123.0,164.0,3200.0,30.0,14.6,1007.2,-4.7,0.0,SSW,0.0,Dongsi,2013-03-06,294.6,155.5,77.734375,0.0,0.0,85.0
138,2013,3,6,17,239.0,264.0,128.0,185.0,3500.0,30.0,11.8,1007.9,-4.4,0.0,W,0.6,Dongsi,2013-03-06,288.6,157.0,79.6875,0.0,0.0,93.75
139,2013,3,6,18,240.0,275.0,133.0,185.0,3299.0,22.0,8.5,1008.5,-4.0,0.0,WNW,0.0,Dongsi,2013-03-06,289.6,162.5,81.640625,0.0,0.0,93.75
140,2013,3,6,19,245.0,289.0,119.0,183.0,3500.0,22.0,8.5,1009.3,-4.4,0.0,WSW,0.4,Dongsi,2013-03-06,294.6,169.5,76.171875,0.0,0.0,92.91666666666667
141,2013,3,6,20,244.0,292.0,117.0,178.0,3600.0,22.0,5.8,1009.9,-3.6,0.0,WSW,0.2,Dongsi,2013-03-06,293.6,171.0,75.390625,0.0,0.0,90.83333333333334
142,2013,3,6,21,247.0,293.0,120.0,173.0,3899.0,22.0,5.3,1009.4,-4.0,0.0,WSW,0.7,Dongsi,2013-03-06,296.6,171.5,76.5625,0.0,0.0,88.75
143,2013,3,6,22,248.0,285.0,124.0,167.0,4500.0,22.0,8.3,1009.3,-3.6,0.0,SE,1.8,Dongsi,2013-03-06,297.6,167.5,78.125,56.25,0.0,86.25
